Bug编号,Bug类型,故障表现,归因分析,修复建议,来源卷册/题号,用户输入,实际返回
BUG-001,系统路由错误,返回排期选项JSON而非实际回答,意图识别路由错乱，将技术咨询意图错误匹配到任务管理流程,优化意图分类器，增加置信度阈值和二次确认机制,SM01,帮我安排下周的硬件评审会,"{""actionType"":""create"",""targetDomain"":""schedule""}"
BUG-002,系统路由错误,返回排期选项JSON而非实际回答,意图识别路由错乱，将技术咨询意图错误匹配到任务管理流程,优化意图分类器，增加置信度阈值和二次确认机制,SM02,查一下STM32F103的供货周期,"{""actionType"":""create"",""targetDomain"":""schedule""}"
BUG-003,系统路由错误,返回排期选项JSON而非实际回答,意图识别路由错乱，将技术咨询意图错误匹配到任务管理流程,优化意图分类器，增加置信度阈值和二次确认机制,SM03,这个BOM表的成本大概多少,"{""actionType"":""create"",""targetDomain"":""code""}"
BUG-004,系统路由错误,返回排期选项JSON而非实际回答,意图识别路由错乱，将技术咨询意图错误匹配到任务管理流程,优化意图分类器，增加置信度阈值和二次确认机制,SM04,帮我对比一下TI和ADI的方案,"{""actionType"":""create"",""targetDomain"":""schedule""}"
BUG-005,系统路由错误,返回排期选项JSON而非实际回答,意图识别路由错乱，将技术咨询意图错误匹配到任务管理流程,优化意图分类器，增加置信度阈值和二次确认机制,SM05,上次那个电源模块的问题解决了吗,"{""actionType"":""create"",""targetDomain"":""schedule""}"
BUG-006,系统路由错误,返回排期选项JSON而非实际回答,意图识别路由错乱，将技术咨询意图错误匹配到任务管理流程,优化意图分类器，增加置信度阈值和二次确认机制,SM06,帮我写个测试用例,"{""actionType"":""create"",""targetDomain"":""code""}"
BUG-007,系统路由错误,返回排期选项JSON而非实际回答,意图识别路由错乱，将技术咨询意图错误匹配到任务管理流程,优化意图分类器，增加置信度阈值和二次确认机制,SM07,这个项目的里程碑节点有哪些,"{""actionType"":""create"",""targetDomain"":""schedule""}"
BUG-008,系统路由错误,返回排期选项JSON而非实际回答,意图识别路由错乱，将技术咨询意图错误匹配到任务管理流程,优化意图分类器，增加置信度阈值和二次确认机制,SM09,帮我整理一下会议纪要,"{""actionType"":""create"",""targetDomain"":""schedule""}"
BUG-009,系统路由错误,返回排期选项JSON而非实际回答,意图识别路由错乱，将技术咨询意图错误匹配到任务管理流程,优化意图分类器，增加置信度阈值和二次确认机制,SM10,这个芯片的替代料有哪些,"{""actionType"":""create"",""targetDomain"":""code""}"
BUG-010,系统路由错误,返回排期选项JSON而非实际回答,意图识别路由错乱，将技术咨询意图错误匹配到任务管理流程,优化意图分类器，增加置信度阈值和二次确认机制,SM11,帮我查一下上次评审的结论,"{""actionType"":""create"",""targetDomain"":""schedule""}"
BUG-011,系统路由错误,返回排期选项JSON而非实际回答,意图识别路由错乱，将技术咨询意图错误匹配到任务管理流程,优化意图分类器，增加置信度阈值和二次确认机制,SM14,帮我排一下下周的测试计划,"{""actionType"":""create"",""targetDomain"":""schedule""}"
BUG-012,系统路由错误,返回排期选项JSON而非实际回答,意图识别路由错乱，将技术咨询意图错误匹配到任务管理流程,优化意图分类器，增加置信度阈值和二次确认机制,SM15,这个接口的时序要求是什么,"{""actionType"":""create"",""targetDomain"":""code""}"
BUG-013,系统路由错误,返回排期选项JSON而非实际回答,意图识别路由错乱，将技术咨询意图错误匹配到任务管理流程,优化意图分类器，增加置信度阈值和二次确认机制,EC01,帮我看看这个电路图有什么问题,"{""actionType"":""create"",""targetDomain"":""schedule""}"
BUG-014,系统路由错误,返回排期选项JSON而非实际回答,意图识别路由错乱，将技术咨询意图错误匹配到任务管理流程,优化意图分类器，增加置信度阈值和二次确认机制,EC02,上次说的那个电容值改了吗,"{""actionType"":""create"",""targetDomain"":""schedule""}"
BUG-015,系统路由错误,返回排期选项JSON而非实际回答,意图识别路由错乱，将技术咨询意图错误匹配到任务管理流程,优化意图分类器，增加置信度阈值和二次确认机制,EC03,帮我总结一下这个数据手册的要点,"{""actionType"":""create"",""targetDomain"":""code""}"
BUG-016,系统路由错误,返回排期选项JSON而非实际回答,意图识别路由错乱，将技术咨询意图错误匹配到任务管理流程,优化意图分类器，增加置信度阈值和二次确认机制,EC05,这个PCB的阻抗匹配怎么调,"{""actionType"":""create"",""targetDomain"":""schedule""}"
BUG-017,系统路由错误,返回排期选项JSON而非实际回答,意图识别路由错乱，将技术咨询意图错误匹配到任务管理流程,优化意图分类器，增加置信度阈值和二次确认机制,EC06,帮我review一下这段驱动代码,"{""actionType"":""create"",""targetDomain"":""code""}"
BUG-018,系统路由错误,返回排期选项JSON而非实际回答,意图识别路由错乱，将技术咨询意图错误匹配到任务管理流程,优化意图分类器，增加置信度阈值和二次确认机制,EC07,上次那个EMC问题找到原因了吗,"{""actionType"":""create"",""targetDomain"":""schedule""}"
BUG-019,系统路由错误,返回排期选项JSON而非实际回答,意图识别路由错乱，将技术咨询意图错误匹配到任务管理流程,优化意图分类器，增加置信度阈值和二次确认机制,EC10,帮我分析一下这个log,"{""actionType"":""create"",""targetDomain"":""code""}"
BUG-020,系统路由错误,返回排期选项JSON而非实际回答,意图识别路由错乱，将技术咨询意图错误匹配到任务管理流程,优化意图分类器，增加置信度阈值和二次确认机制,EC11,这个固件的升级流程是什么,"{""actionType"":""create"",""targetDomain"":""schedule""}"
BUG-021,系统路由错误,返回排期选项JSON而非实际回答,意图识别路由错乱，将技术咨询意图错误匹配到任务管理流程,优化意图分类器，增加置信度阈值和二次确认机制,EC12,帮我查一下这个芯片的勘误表,"{""actionType"":""create"",""targetDomain"":""code""}"
BUG-022,系统路由错误,返回排期选项JSON而非实际回答,意图识别路由错乱，将技术咨询意图错误匹配到任务管理流程,优化意图分类器，增加置信度阈值和二次确认机制,EC14,上次讨论的那个散热方案可行吗,"{""actionType"":""create"",""targetDomain"":""schedule""}"
BUG-023,系统路由错误,返回排期选项JSON而非实际回答,意图识别路由错乱，将技术咨询意图错误匹配到任务管理流程,优化意图分类器，增加置信度阈值和二次确认机制,EC16,帮我写个自动化测试脚本,"{""actionType"":""create"",""targetDomain"":""code""}"
BUG-024,系统路由错误,返回排期选项JSON而非实际回答,意图识别路由错乱，将技术咨询意图错误匹配到任务管理流程,优化意图分类器，增加置信度阈值和二次确认机制,EC17,这个信号完整性怎么优化,"{""actionType"":""create"",""targetDomain"":""schedule""}"
