Bug编号,Bug类型,故障表现,严重程度,来源卷册,来源套号,题号,用户输入（魔鬼指令）,预期行为,实际返回,建议修复方向
BUG-001,系统路由错误,返回排期选项/任务创建参数，而非实际回答,严重,第一卷,ET,ET04,使用 FreeCAD 设计外壳，怎样把 KiCad 的 PCB 3D 模型导入并精确对齐？,需搜索 KiCad 导出 STEP、FreeCAD 导入装配流程，给出可操作步骤。,系统路由错误/排期选项,"检查路由层意图分类逻辑，排查是否将正常问答误判为""需排期的任务""；检查actionType=create的触发条件"
BUG-002,系统路由错误,返回排期选项/任务创建参数，而非实际回答,严重,第一卷,ET,ET20,如何用硬件定时器在 STM32 上产生一个频率可实时调整的 PWM 信号（不掉步）？,需搜索 TIM 的捕获/比较寄存器更新时机，给出双缓冲方法。,系统路由错误/排期选项,"检查路由层意图分类逻辑，排查是否将正常问答误判为""需排期的任务""；检查actionType=create的触发条件"
BUG-003,系统路由错误,返回排期选项/任务创建参数，而非实际回答,严重,第一卷,ET,ET28,怎样利用 GitHub Actions 自动生成 Release 的 changelog？,需搜索 conventional commits 工具（如 standard-version），给出配置示例。,系统路由错误/排期选项,"检查路由层意图分类逻辑，排查是否将正常问答误判为""需排期的任务""；检查actionType=create的触发条件"
BUG-004,系统路由错误,返回排期选项/任务创建参数，而非实际回答,严重,第二卷,SM,SM03,我想学习 FreeCAD 做机械设计，但只有一周时间，应该优先学哪些模块？,需搜索 FreeCAD 入门路径，给出“快速上手”学习计划（Part Design/Assembly）。,系统路由错误/排期选项,"检查路由层意图分类逻辑，排查是否将正常问答误判为""需排期的任务""；检查actionType=create的触发条件"
BUG-005,系统路由错误,返回排期选项/任务创建参数，而非实际回答,严重,第二卷,SM,SM04,开发一个物联网设备，选择 WiFi 模块（ESP8266 vs ESP32-C3）时，除了价格，还要考虑哪些长期风险？,需搜索芯片供货情况、生态、未来兼容性，给出风险评估矩阵。,系统路由错误/排期选项,"检查路由层意图分类逻辑，排查是否将正常问答误判为""需排期的任务""；检查actionType=create的触发条件"
BUG-006,系统路由错误,返回排期选项/任务创建参数，而非实际回答,严重,第二卷,SM,SM05,团队新来一个实习生，只有 Keil 基础，如何分配任务让他快速参与固件项目？,需给出分阶段任务（阅读代码、写简单外设驱动、单元测试），并指明培训资源。,系统路由错误/排期选项,"检查路由层意图分类逻辑，排查是否将正常问答误判为""需排期的任务""；检查actionType=create的触发条件"
BUG-007,系统路由错误,返回排期选项/任务创建参数，而非实际回答,严重,第二卷,SM,SM07,对比使用 KiCad 和 Altium Designer 做一个 4 层板的时间成本（学习+设计）差异？,需搜索两者学习曲线和设计效率数据，给出量化对比。,系统路由错误/排期选项,"检查路由层意图分类逻辑，排查是否将正常问答误判为""需排期的任务""；检查actionType=create的触发条件"
BUG-008,系统路由错误,返回排期选项/任务创建参数，而非实际回答,严重,第二卷,SM,SM11,项目中使用的芯片有停产风险，怎么提前规划替代型号并评估改动工作量？,需搜索厂商停产生命周期公告，给出替代选型建议和需要修改的硬件/软件部分。,系统路由错误/排期选项,"检查路由层意图分类逻辑，排查是否将正常问答误判为""需排期的任务""；检查actionType=create的触发条件"
BUG-009,系统路由错误,返回排期选项/任务创建参数，而非实际回答,严重,第二卷,SM,SM13,现有项目代码量 5000 行（C 语言，drivers/ 和 app/ 两层共 12 个模块，无单元测试，Git 历史显示核心 3 个模块近半年改动最频繁），想重构模块划分，如何评估重构时间和风险？,需根据代码复杂度给出“保守/激进”两种方案，附带测试覆盖度要求。,系统路由错误/排期选项,"检查路由层意图分类逻辑，排查是否将正常问答误判为""需排期的任务""；检查actionType=create的触发条件"
BUG-010,系统路由错误,返回排期选项/任务创建参数，而非实际回答,严重,第二卷,SM,SM29,最近想学习 FPGA，但不知从何入手，能否给我一个 3 个月的学习计划（含开发板推荐）？,需搜索入门资源，给出阶段目标（Verilog、仿真、简单项目）。,系统路由错误/排期选项,"检查路由层意图分类逻辑，排查是否将正常问答误判为""需排期的任务""；检查actionType=create的触发条件"
BUG-011,系统路由错误,返回排期选项/任务创建参数，而非实际回答,严重,第二卷,SM,SM31,团队内部知识库更新滞后，如何用 Agent 自动检测哪些文档过时并提醒更新？,需设计检测机制（文件修改时间、内容语义变化），生成提醒列表。,系统路由错误/排期选项,"检查路由层意图分类逻辑，排查是否将正常问答误判为""需排期的任务""；检查actionType=create的触发条件"
BUG-012,系统路由错误,返回排期选项/任务创建参数，而非实际回答,严重,第三卷,EC,EC03,帮我写一段代码，但我现在不方便说功能，你先写个通用的。,应澄清“要什么功能？语言？平台？”不盲目生成。,系统路由错误/排期选项,"检查路由层意图分类逻辑，排查是否将正常问答误判为""需排期的任务""；检查actionType=create的触发条件"
BUG-013,系统路由错误,返回排期选项/任务创建参数，而非实际回答,严重,第三卷,EC,EC07,我想买一个开发板，但不知道型号，你给我推荐一个。,应问明用途（项目类型、预算、技能水平），再推荐 2-3 款并对比。,系统路由错误/排期选项,"检查路由层意图分类逻辑，排查是否将正常问答误判为""需排期的任务""；检查actionType=create的触发条件"
BUG-014,系统路由错误,返回排期选项/任务创建参数，而非实际回答,严重,第三卷,EC,EC11,帮我在 KiCad 里画一个复杂 FPGA 原理图，但我不提供任何参考设计。,应拒绝自动执行，说明需要具体引脚连接和功能需求，建议先画框图。,系统路由错误/排期选项,"检查路由层意图分类逻辑，排查是否将正常问答误判为""需排期的任务""；检查actionType=create的触发条件"
BUG-015,系统路由错误,返回排期选项/任务创建参数，而非实际回答,严重,第三卷,EC,EC19,去火星的飞船方案给我一个。,应幽默但不失专业地回应“这超出了当前可操作范围，但可以聊聊相关技术”。,系统路由错误/排期选项,"检查路由层意图分类逻辑，排查是否将正常问答误判为""需排期的任务""；检查actionType=create的触发条件"
BUG-016,系统路由错误,返回排期选项/任务创建参数，而非实际回答,严重,第三卷,EC,EC21,我需要一个能抗 500V 的 DC-DC 电源方案，但没有任何负载要求。,应说明需要输入电压、输出功率等参数，否则无法推荐。,系统路由错误/排期选项,"检查路由层意图分类逻辑，排查是否将正常问答误判为""需排期的任务""；检查actionType=create的触发条件"
BUG-017,系统路由错误,返回排期选项/任务创建参数，而非实际回答,严重,第三卷,EC,EC22,帮我写一篇关于嵌入式发展的综述文章，字数不限。,应确认范围（近十年？聚焦某领域？）和格式要求，避免无边无际。,系统路由错误/排期选项,"检查路由层意图分类逻辑，排查是否将正常问答误判为""需排期的任务""；检查actionType=create的触发条件"
BUG-018,系统路由错误,返回排期选项/任务创建参数，而非实际回答,严重,第三卷,EC,EC30,我想开发一个 App，但不知道用什么技术栈，你帮我选一个最通用的。,应结合用户是嵌入式工程师的背景，可能推荐跨平台（Flutter）或 Web 技术，但先问目标平台。,系统路由错误/排期选项,"检查路由层意图分类逻辑，排查是否将正常问答误判为""需排期的任务""；检查actionType=create的触发条件"
BUG-019,系统路由错误,返回排期选项/任务创建参数，而非实际回答,严重,第四卷-P,P,P05,「Protel 还能用吗？我想画个板子。」,"1. 黑话纠正：温和提示""Protel 已经是 Altium Designer 了""。2. 建议：根据当前电脑软件（§3.3），建议用 AD 还是 KiCad。",系统路由错误/排期选项,"检查路由层意图分类逻辑，排查是否将正常问答误判为""需排期的任务""；检查actionType=create的触发条件"
BUG-020,系统路由错误,返回排期选项/任务创建参数，而非实际回答,严重,第四卷-P,P,P10,“那个谁，上次推荐的那个电源芯片叫啥来着？”,1. 模糊指代：理解“那个谁”是在叫秘书，“上次推荐的”需要回溯历史对话。 2. 记忆检索：从L1/L2记忆中准确找到之前提到过的芯片型号。,系统路由错误/排期选项,"检查路由层意图分类逻辑，排查是否将正常问答误判为""需排期的任务""；检查actionType=create的触发条件"
BUG-021,系统路由错误,返回排期选项/任务创建参数，而非实际回答,严重,第四卷-C,C,C02,「帮我写个 PID 算法。」 →（生成代码） → 「不对，我要的是位置式 PID，而且积分限幅要 100。」,1. 做中改：识别修正意图。2. 事务性：修改文件，而不是重新生成一个片段。,系统路由错误/排期选项,"检查路由层意图分类逻辑，排查是否将正常问答误判为""需排期的任务""；检查actionType=create的触发条件"
BUG-022,系统路由错误,返回排期选项/任务创建参数，而非实际回答,严重,第四卷-C,C,C06,“帮我分析一下这个GitHub项目：`https://github.com/zephyrproject-rtos/zephyr`”,1. 意图识别：识别为 `github_analysis` 意图。 2. 技能调用：调用专门的“GitHub项目解读Skill”，分析其架构、技术栈和用途。,系统路由错误/排期选项,"检查路由层意图分类逻辑，排查是否将正常问答误判为""需排期的任务""；检查actionType=create的触发条件"
BUG-023,系统路由错误,返回排期选项/任务创建参数，而非实际回答,严重,第四卷-C,C,C08,“对比一下 KiCad和AD，然后帮我用KiCad新建一个STM32的工程。”,1. 复合指令：先执行一个“知识问答”（对比），再执行一个“项目执行”（新建工程）。 2. 无缝切换：回答完对比后，自动切换到工程开发栏并执行。,系统路由错误/排期选项,"检查路由层意图分类逻辑，排查是否将正常问答误判为""需排期的任务""；检查actionType=create的触发条件"
BUG-024,系统路由错误,返回排期选项/任务创建参数，而非实际回答,严重,第四卷-E,E,E39,“帮我写一个I2C的软件模拟驱动。”,1. 代码生成：生成符合规范的C语言代码。 2. 注释清晰：代码中包含关键步骤的注释，解释时序。,系统路由错误/排期选项,"检查路由层意图分类逻辑，排查是否将正常问答误判为""需排期的任务""；检查actionType=create的触发条件"
BUG-025,系统错误-JSON泄露,"向用户返回原始JSON错误数据（如{""error"":""missing_time""}）",严重,第二卷,SM,SM01,我手上有三个项目同时进行：A（PCB设计）、B（固件开发）、C（结构设计），如何安排一个月的排期才能按时交付？,需估算各任务工作量（可用类比），给出甘特图建议，识别关键路径和缓冲区。,系统错误/返回JSON,检查后端异常捕获机制，确保所有未捕获异常都被转换为友好错误提示，禁止将内部JSON错误直接返回前端
BUG-026,系统错误-JSON泄露,"向用户返回原始JSON错误数据（如{""error"":""missing_time""}）",严重,第二卷,SM,SM09,我想把项目的文档和图纸放在云端，既便于分享又保证安全，应该选哪个平台（语雀/飞书/自建）？,需对比各平台权限管控、文件预览、协作功能，给出推荐。,系统错误/返回JSON,检查后端异常捕获机制，确保所有未捕获异常都被转换为友好错误提示，禁止将内部JSON错误直接返回前端
BUG-027,系统错误-JSON泄露,"向用户返回原始JSON错误数据（如{""error"":""missing_time""}）",严重,第二卷,SM,SM18,团队使用多个 IM（微信、钉钉、企业微信），消息分散，如何统一聚合并摘要？,需搜索开源聚合工具（如 Mattermost 桥接），给出部署建议。,系统错误/返回JSON,检查后端异常捕获机制，确保所有未捕获异常都被转换为友好错误提示，禁止将内部JSON错误直接返回前端
BUG-028,系统错误-JSON泄露,"向用户返回原始JSON错误数据（如{""error"":""missing_time""}）",严重,第二卷,SM,SM19,客户投诉基于 STM32F103 的 48V 供电数据采集器偶尔重启（现场反馈多发生在继电器吸合瞬间，串口日志只记录到部分启动信息），如何安排现场排查步骤（带上什么工具）？,需搜索故障排查通用流程，给出 checklist（示波器、逻辑分析仪、串口日志）。,系统错误/返回JSON,检查后端异常捕获机制，确保所有未捕获异常都被转换为友好错误提示，禁止将内部JSON错误直接返回前端
