ID,卷册,题目,考察点,gate,confidence,evidence,autoScore,autoReason
ET01,第一卷,STM32H7 与 STM32F4 的 FPU 差异对 PID 控制环计算延迟影响多大？实测应如何配置？,跨型号性能量化 + 官方源优先,low_confidence,0.654,3,3,answer=1455chars; termCov=0.75; 权威域命中
ET02,第一卷,用 LTspice 仿真 BUCK 电路，怎么加入实际 PCB 寄生参数（ESR/ESL）？模型怎么建？,仿真进阶 + 寄生建模,none,0.853,2,3,answer=1384chars; termCov=0.67; 权威域命中
ET03,第一卷,TPS5430 输出 5V/2A，电感选 10µH 还是 22µH？轻载和满载效率差异？,数据手册参数权衡 + 官方工具利用,none,0.888,3,3,answer=1206chars; termCov=0.67; 权威域命中
ET04,第一卷,使用 FreeCAD 设计外壳，怎样把 KiCad 的 PCB 3D 模型导入并精确对齐？,跨工具协同流程,none,0.65,3,2,answer=1443chars; termCov=0.71
ET05,第一卷,如何用 Keil 的 Event Recorder 调试 FreeRTOS 任务切换抖动？需要哪些配置？,调试工具深度使用 + RTOS 分析,none,0.722,2,3,answer=1708chars; termCov=0.73; 权威域命中
ET06,第一卷,对比 ESP32-S3 和 RP2040 在音频 I2S 应用上的功耗和 PSRAM 性能差异？,芯片选型对比 + 官方数据引用,none,0.888,3,3,answer=1050chars; termCov=0.60; 权威域命中
ET07,第一卷,在 Altium Designer 中做高速 PCB（>100MHz），差分对等长规则如何设定？参考哪部分？,高速 PCB 设计规范,none,0.804,3,2,answer=1333chars; termCov=0.63
ET08,第一卷,用 PyMuPDF 解析 Datasheet 表格时，遇到合并单元格怎么处理？有现成工具吗？,数据提取工具链,none,0.675,3,2,answer=1504chars; termCov=0.50
ET09,第一卷,我有一块 STM32F103 的板子，晶振 8MHz，想用 PLL 超频到 128MHz，风险大吗？怎么测试稳定性？,超频风险评估 + 稳定性测试,none,0.738,3,3,answer=1405chars; termCov=0.50; 权威域命中
ET10,第一卷,如何通过 GitHub API 获取一个项目的贡献者数量和 star 趋势？并用图表展示？,API 使用 + 数据可视化,low_confidence,0.53,3,2,answer=2088chars; termCov=0.63
ET11,第一卷,用 JLink 烧录时，SWD 接口的 100kΩ 上拉电阻必须加吗？不加有什么后果？,硬件接口规范,none,0.78,3,2,answer=737chars; termCov=0.43
ET12,第一卷,使用 Rust 编写嵌入式程序时，如何避免堆内存分配错误？有哪些最佳实践？,现代语言嵌入式最佳实践,none,0.67,3,2,answer=1729chars; termCov=0.50
ET13,第一卷,ESP32-C3 的 WiFi 和 BLE 同时工作，天线共用会不会互相干扰？怎么优化？,无线共存优化,none,0.828,3,3,answer=1308chars; termCov=0.50; 权威域命中
ET14,第一卷,用 OpenOCD 0.12 + ST-Link V2 调试 STM32F103 板子，在 attach 阶段报 Error: timed out while waiting for target halted，供电实测 3.3V 正常，怎么排查？,调试器错误排查,none,0.823,1,2,answer=1594chars; termCov=0.42; 权威域命中
ET15,第一卷,在 KiCad 里怎么设置差分对阻抗匹配？需要用到什么插件？,EDA 工具高级功能,none,0.751,3,2,answer=973chars; termCov=0.25
ET16,第一卷,我想用 LTspice 做蒙特卡罗分析来评估电阻容差对输出电压的影响，怎么设置？,统计仿真能力,none,0.679,3,2,answer=1176chars; termCov=0.25
ET17,第一卷,如何评价 Tauri 和 Electron 在嵌入式设备上的运行性能（内存/CPU）？,跨平台框架性能量化,none,0.795,3,2,answer=1185chars; termCov=0.80
ET18,第一卷,在 Python 中怎么用 scipy.signal 设计一个数字低通滤波器来平滑 ADC 采样数据？,数字信号处理 + 代码实现,none,0.605,3,2,answer=1585chars; termCov=0.57
ET19,第一卷,我的项目同时使用 Keil 和 CubeMX，怎么保证两者配置同步？最佳工作流是什么？,工具链协同工作流,none,0.689,3,2,answer=1216chars; termCov=0.40
ET20,第一卷,如何用硬件定时器在 STM32 上产生一个频率可实时调整的 PWM 信号（不掉步）？,外设深度驱动,low_confidence,0,0,0,信号弱
ET21,第一卷,在 Cadence Allegro 中，怎么从 BGA 扇出并设定 DDR 等长规则？,专业 EDA 高级布线,low_confidence,0.731,3,2,answer=1042chars; termCov=0.50
ET22,第一卷,使用 Gitee 私有仓库，如何利用 Webhook 自动触发编译和单元测试？,CI/CD 集成,none,0.652,3,2,answer=1131chars; termCov=0.50
ET23,第一卷,我的嵌入式固件有看门狗，但在调试模式下常被复位，如何禁用调试阶段的看门狗？,调试时特殊处理,none,0.715,3,1,answer=976chars
ET24,第一卷,使用 C++ 在 STM32 上时，哪种 RTOS 对 C++ 异常处理支持最好？,RTOS 选型 + 语言特性支持,low_confidence,0,0,0,信号弱
