ID,Query,引擎,相关性,时效,可用,备注
E01,"STM32F103C8T6 最大主频是多少",Bocha,1,2,2,""
E01,"STM32F103C8T6 最大主频是多少",AnySearch,3,2,3,""
E01,"STM32F103C8T6 最大主频是多少",Tavily,3,2,3,""
E02,"TPS5430 输入电压范围",Bocha,3,2,3,""
E02,"TPS5430 输入电压范围",AnySearch,1,0,0,""
E02,"TPS5430 输入电压范围",Tavily,1,1,1,""
E03,"IRF540N 最大漏极电流",Bocha,2,1,1,""
E03,"IRF540N 最大漏极电流",AnySearch,3,2,3,""
E03,"IRF540N 最大漏极电流",Tavily,3,2,3,""
E04,"STM32F103 ADC 多通道采集 踩坑 经验",Bocha,2,3,1,""
E04,"STM32F103 ADC 多通道采集 踩坑 经验",AnySearch,3,3,2,""
E04,"STM32F103 ADC 多通道采集 踩坑 经验",Tavily,1,2,1,""
E05,"ESP32 WiFi 频繁断连重连 解决方案",Bocha,2,3,2,""
E05,"ESP32 WiFi 频繁断连重连 解决方案",AnySearch,2,0,0,""
E05,"ESP32 WiFi 频繁断连重连 解决方案",Tavily,3,3,3,""
E06,"MOSFET 栅极驱动电阻 选型 注意事项",Bocha,1,0,0,""
E06,"MOSFET 栅极驱动电阻 选型 注意事项",AnySearch,3,3,3,""
E06,"MOSFET 栅极驱动电阻 选型 注意事项",Tavily,3,3,3,""
E07,"BUCK电路 电感选型 经验 踩坑",Bocha,1,0,0,""
E07,"BUCK电路 电感选型 经验 踩坑",AnySearch,3,3,3,""
E07,"BUCK电路 电感选型 经验 踩坑",Tavily,3,3,3,""
E08,"KiCad 和 Altium Designer 对比 优缺点",Bocha,2,1,0,""
E08,"KiCad 和 Altium Designer 对比 优缺点",AnySearch,2,2,2,""
E08,"KiCad 和 Altium Designer 对比 优缺点",Tavily,3,2,2,""
E09,"STM32 vs ESP32 物联网方案选型",Bocha,2,2,2,""
E09,"STM32 vs ESP32 物联网方案选型",AnySearch,3,3,3,""
E09,"STM32 vs ESP32 物联网方案选型",Tavily,3,3,3,""
E10,"Tauri 和 Electron 桌面应用框架对比",Bocha,3,2,3,""
E10,"Tauri 和 Electron 桌面应用框架对比",AnySearch,3,2,2,""
E10,"Tauri 和 Electron 桌面应用框架对比",Tavily,3,2,2,""
E11,"Keil MDK JTAG 配置 步骤",Bocha,2,3,3,""
E11,"Keil MDK JTAG 配置 步骤",AnySearch,2,3,3,""
E11,"Keil MDK JTAG 配置 步骤",Tavily,2,0,1,""
E12,"FreeCAD 导出 STL 格式",Bocha,2,2,2,""
E12,"FreeCAD 导出 STL 格式",AnySearch,1,3,3,""
E12,"FreeCAD 导出 STL 格式",Tavily,1,3,0,""
E13,"LTspice 瞬态仿真 设置方法",Bocha,2,2,3,""
E13,"LTspice 瞬态仿真 设置方法",AnySearch,2,2,3,""
E13,"LTspice 瞬态仿真 设置方法",Tavily,3,3,3,""
E14,"STM32 HAL_UART_Transmit 阻塞 卡死",Bocha,3,2,3,""
E14,"STM32 HAL_UART_Transmit 阻塞 卡死",AnySearch,3,3,1,""
E14,"STM32 HAL_UART_Transmit 阻塞 卡死",Tavily,3,2,2,""
E15,"Altium Designer DRC clearance constraint 报错",Bocha,0,1,0,""
E15,"Altium Designer DRC clearance constraint 报错",AnySearch,3,3,3,""
E15,"Altium Designer DRC clearance constraint 报错",Tavily,3,3,3,""
E16,"ESP32 I2C 通信失败 无应答",Bocha,0,0,0,""
E16,"ESP32 I2C 通信失败 无应答",AnySearch,2,2,3,""
E16,"ESP32 I2C 通信失败 无应答",Tavily,3,3,3,""
E17,"今天A股行情",Bocha,2,1,1,""
E17,"今天A股行情",AnySearch,0,1,1,""
E17,"今天A股行情",Tavily,3,3,3,""
E18,"国产RISC-V芯片 最新进展",Bocha,1,2,2,""
E18,"国产RISC-V芯片 最新进展",AnySearch,3,2,2,""
E18,"国产RISC-V芯片 最新进展",Tavily,3,2,2,""
E19,"Tauri 框架 架构 技术栈",Bocha,3,3,3,""
E19,"Tauri 框架 架构 技术栈",AnySearch,2,0,0,""
E19,"Tauri 框架 架构 技术栈",Tavily,2,0,0,""
E20,"OpenWorker 项目 用途",Bocha,0,1,1,""
E20,"OpenWorker 项目 用途",AnySearch,3,3,3,""
E20,"OpenWorker 项目 用途",Tavily,2,3,3,""
L01,"北京今天天气",Bocha,3,3,3,""
L01,"北京今天天气",AnySearch,3,3,2,""
L01,"北京今天天气",Tavily,3,3,3,""
L02,"感冒了能不能吃鸡蛋",Bocha,3,3,3,""
L02,"感冒了能不能吃鸡蛋",AnySearch,3,3,3,""
L02,"感冒了能不能吃鸡蛋",Tavily,3,3,3,""
L03,"周末北京周边自驾游 推荐路线",Bocha,2,2,2,""
L03,"周末北京周边自驾游 推荐路线",AnySearch,3,2,2,""
L03,"周末北京周边自驾游 推荐路线",Tavily,3,2,2,""
