ID,卷册,题目,预期行为,考察点,我的初判分,你的评分(0-3),备注
ET01,第一卷,STM32H7 与 STM32F4 的 FPU 差异对 PID 控制环计算延迟影响多大？实测应如何配置？,需搜索官方对比表 + 社区实测数据，给出量化延迟差异和配置建议，引用官方源。,跨型号性能量化 + 官方源优先,1,,
ET02,第一卷,用 LTspice 仿真 BUCK 电路，怎么加入实际 PCB 寄生参数（ESR/ESL）？模型怎么建？,需搜索 LTspice 教程 + 寄生参数建模技巧，给出步骤和示例电路。,仿真进阶 + 寄生建模,2,,
ET03,第一卷,TPS5430 输出 5V/2A，电感选 10µH 还是 22µH？轻载和满载效率差异？,需对比官方推荐、计算占空比和纹波，给出选型权衡，引用 TI 官方设计工具。,数据手册参数权衡 + 官方工具利用,2,,
ET04,第一卷,使用 FreeCAD 设计外壳，怎样把 KiCad 的 PCB 3D 模型导入并精确对齐？,需搜索 KiCad 导出 STEP、FreeCAD 导入装配流程，给出可操作步骤。,跨工具协同流程,0,,
ET05,第一卷,如何用 Keil 的 Event Recorder 调试 FreeRTOS 任务切换抖动？需要哪些配置？,需搜索 Keil 调试文档 + FreeRTOS 配置，给出配置代码和测量方法。,调试工具深度使用 + RTOS 分析,2,,
ET06,第一卷,对比 ESP32-S3 和 RP2040 在音频 I2S 应用上的功耗和 PSRAM 性能差异？,需搜索两张芯片的数据手册关键参数，给出对比表，引用官方资料。,芯片选型对比 + 官方数据引用,0,,
ET07,第一卷,在 Altium Designer 中做高速 PCB（>100MHz），差分对等长规则如何设定？参考哪部分？,需搜索 Altium 官方指引 + 高速设计实践，给出规则设置步骤。,高速 PCB 设计规范,3,,
ET08,第一卷,用 PyMuPDF 解析 Datasheet 表格时，遇到合并单元格怎么处理？有现成工具吗？,需搜索 PyMuPDF 或 camelot 解决方案，给出代码示例或推荐库。,数据提取工具链,2,,
ET09,第一卷,我有一块 STM32F103 的板子，晶振 8MHz，想用 PLL 超频到 128MHz，风险大吗？怎么测试稳定性？,需搜索超频案例 + 官方最大频率限制，给出风险等级和测试方法。,超频风险评估 + 稳定性测试,3,,
ET10,第一卷,如何通过 GitHub API 获取一个项目的贡献者数量和 star 趋势？并用图表展示？,需搜索 GitHub API 端点，给出代码（Python/JavaScript）和输出示例。,API 使用 + 数据可视化,3,,
ET11,第一卷,用 JLink 烧录时，SWD 接口的 100kΩ 上拉电阻必须加吗？不加有什么后果？,需搜索 JLink 官方文档或 ARM 调试接口规范，给出明确结论。,硬件接口规范,2,,
ET12,第一卷,使用 Rust 编写嵌入式程序时，如何避免堆内存分配错误？有哪些最佳实践？,需搜索 Rust 嵌入式 no_std 内存管理文章，给出关键要点和示例。,现代语言嵌入式最佳实践,2,,
ET13,第一卷,ESP32-C3 的 WiFi 和 BLE 同时工作，天线共用会不会互相干扰？怎么优化？,需搜索 Espressif 官方 AN，给出共存配置建议。,无线共存优化,3,,
ET14,第一卷,用 OpenOCD 0.12 + ST-Link V2 调试 STM32F103 板子，在 attach 阶段报 Error: timed out while waiting for target halted，供电实测 3.3V 正常，怎么排查？,需搜索该错误常见原因（供电、时钟、复位），给出排查清单。,调试器错误排查,0,,
ET15,第一卷,在 KiCad 里怎么设置差分对阻抗匹配？需要用到什么插件？,需搜索 KiCad 官方文档或视频教程，给出具体菜单路径。,EDA 工具高级功能,3,,
ET16,第一卷,我想用 LTspice 做蒙特卡罗分析来评估电阻容差对输出电压的影响，怎么设置？,需搜索 LTspice 蒙特卡罗指令，给出 .step 和 rand() 用法。,统计仿真能力,2,,
ET17,第一卷,如何评价 Tauri 和 Electron 在嵌入式设备上的运行性能（内存/CPU）？,需搜索性能对比基准，给出量化数据（如启动时间、内存占用）。,跨平台框架性能量化,3,,
ET18,第一卷,在 Python 中怎么用 scipy.signal 设计一个数字低通滤波器来平滑 ADC 采样数据？,需搜索 scipy 滤波设计文档，给出代码和滤波系数选择建议。,数字信号处理 + 代码实现,3,,
ET19,第一卷,我的项目同时使用 Keil 和 CubeMX，怎么保证两者配置同步？最佳工作流是什么？,需搜索常见同步策略，给出推荐流程（如 CubeMX 生成 .ioc 后导入 Keil）。,工具链协同工作流,3,,
ET20,第一卷,如何用硬件定时器在 STM32 上产生一个频率可实时调整的 PWM 信号（不掉步）？,需搜索 TIM 的捕获/比较寄存器更新时机，给出双缓冲方法。,外设深度驱动,0,,
ET21,第一卷,在 Cadence Allegro 中，怎么从 BGA 扇出并设定 DDR 等长规则？,需搜索 Allegro 高速设计教程，给出关键步骤。,专业 EDA 高级布线,1,,
ET22,第一卷,使用 Gitee 私有仓库，如何利用 Webhook 自动触发编译和单元测试？,需搜索 Gitee Webhook + Jenkins/GitHub Actions 替代方案，给出 yaml 示例。,CI/CD 集成,3,,
ET23,第一卷,我的嵌入式固件有看门狗，但在调试模式下常被复位，如何禁用调试阶段的看门狗？,需搜索 MCU 手册中调试冻结看门狗的寄存器位。,调试时特殊处理,2,,
ET24,第一卷,使用 C++ 在 STM32 上时，哪种 RTOS 对 C++ 异常处理支持最好？,需搜索 FreeRTOS/RT-Thread/ThreadX 对 C++ 的支持情况，给出对比。,RTOS 选型 + 语言特性支持,1,,
ET25,第一卷,怎样从 TI 官网下载某个芯片的 IBIS 模型？需要注册吗？,需搜索 TI 模型下载页面，给出路径和注意事项。,官网资源获取,0,,
ET26,第一卷,用 Altium 做仿真时，怎么导入第三方 SPICE 模型（如 LTspice 的 .sub 文件）？,需搜索 Altium 仿真模型映射方法，给出操作步骤。,仿真模型互操作,0,,
ET27,第一卷,ESP32 的 RTC 时钟误差多少？如何软件校准？,需搜索官方文档和社区校准方案，给出误差范围和校准方法。,硬件精度校准,1,,
ET28,第一卷,怎样利用 GitHub Actions 自动生成 Release 的 changelog？,需搜索 conventional commits 工具（如 standard-version），给出配置示例。,自动化发布流水线,0,,
ET29,第一卷,在 FreeCAD 中如何对装配体做有限元静态分析？需要额外 Workbench？,需搜索 FreeCAD FEM 模块教程，给出设置流程。,开源 CAE 工具链,3,,
